Profile summary — 10 engine steps
============================================================

Top 25 ops by total CUDA time:
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::empty         3.57%       3.351ms         3.57%       3.351ms       3.192us          1050            --  
                                         aten::to         0.90%     841.985us        10.75%      10.084ms      36.013us           280            --  
                                   aten::_to_copy         0.67%     625.474us         9.85%       9.242ms      57.761us           160            --  
                              aten::empty_strided         5.24%       4.912ms         5.24%       4.912ms      17.543us           280            --  
                                      aten::copy_         0.92%     859.848us         4.54%       4.258ms      26.614us           160            --  
                                  cudaMemcpyAsync         1.54%       1.440ms         1.54%       1.440ms      16.005us            90            --  
                            cudaStreamSynchronize         6.11%       5.736ms         6.11%       5.736ms      63.728us            90            --  
                                 aten::lift_fresh         0.01%       8.336us         0.01%       8.336us       0.208us            40            --  
                                    aten::detach_         0.01%       4.802us         0.01%       4.802us       0.120us            40            --  
                                  aten::embedding         0.04%      39.864us         1.06%     998.355us      49.918us            20            --  
                               aten::index_select         0.26%     245.767us         1.02%     958.491us      47.925us            20            --  
                                    aten::resize_         0.50%     470.080us         0.50%     470.080us       3.358us           140            --  
                                 cudaLaunchKernel        23.84%      22.366ms        23.84%      22.366ms      13.555us          1650            --  
                                        aten::add         2.54%       2.386ms         5.97%       5.600ms      22.401us           250       960.000  
                                 aten::layer_norm         1.31%       1.231ms        11.84%      11.110ms      44.441us           250            --  
                          aten::native_layer_norm         3.88%       3.638ms        10.53%       9.880ms      39.518us           250            --  
                                       aten::view         1.17%       1.097ms         1.17%       1.097ms       0.789us          1390            --  
                                     aten::linear         3.38%       3.174ms        26.91%      25.245ms      52.594us           480            --  
                                          aten::t         1.34%       1.258ms         3.17%       2.977ms       6.076us           490            --  
                                  aten::transpose         1.30%       1.218ms         1.83%       1.719ms       3.508us           490            --  
                                 aten::as_strided         1.39%       1.306ms         1.39%       1.306ms       0.843us          1550            --  
                                      aten::addmm        12.39%      11.626ms        20.40%      19.143ms      39.881us           480   8493465.600  
                           cudaDeviceGetAttribute         0.16%     150.138us         0.16%     150.138us       0.406us           370            --  
                                  cudaMemsetAsync         0.10%      95.191us         0.10%      95.191us       0.264us           360            --  
                                   cuLaunchKernel         7.89%       7.402ms         7.89%       7.402ms      15.107us           490            --  
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 93.829ms


Top 25 ops by self CUDA time:
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::empty         3.57%       3.351ms         3.57%       3.351ms       3.192us          1050            --  
                                         aten::to         0.90%     841.985us        10.75%      10.084ms      36.013us           280            --  
                                   aten::_to_copy         0.67%     625.474us         9.85%       9.242ms      57.761us           160            --  
                              aten::empty_strided         5.24%       4.912ms         5.24%       4.912ms      17.543us           280            --  
                                      aten::copy_         0.92%     859.848us         4.54%       4.258ms      26.614us           160            --  
                                  cudaMemcpyAsync         1.54%       1.440ms         1.54%       1.440ms      16.005us            90            --  
                            cudaStreamSynchronize         6.11%       5.736ms         6.11%       5.736ms      63.728us            90            --  
                                 aten::lift_fresh         0.01%       8.336us         0.01%       8.336us       0.208us            40            --  
                                    aten::detach_         0.01%       4.802us         0.01%       4.802us       0.120us            40            --  
                                  aten::embedding         0.04%      39.864us         1.06%     998.355us      49.918us            20            --  
                               aten::index_select         0.26%     245.767us         1.02%     958.491us      47.925us            20            --  
                                    aten::resize_         0.50%     470.080us         0.50%     470.080us       3.358us           140            --  
                                 cudaLaunchKernel        23.84%      22.366ms        23.84%      22.366ms      13.555us          1650            --  
                                        aten::add         2.54%       2.386ms         5.97%       5.600ms      22.401us           250       960.000  
                                 aten::layer_norm         1.31%       1.231ms        11.84%      11.110ms      44.441us           250            --  
                          aten::native_layer_norm         3.88%       3.638ms        10.53%       9.880ms      39.518us           250            --  
                                       aten::view         1.17%       1.097ms         1.17%       1.097ms       0.789us          1390            --  
                                     aten::linear         3.38%       3.174ms        26.91%      25.245ms      52.594us           480            --  
                                          aten::t         1.34%       1.258ms         3.17%       2.977ms       6.076us           490            --  
                                  aten::transpose         1.30%       1.218ms         1.83%       1.719ms       3.508us           490            --  
                                 aten::as_strided         1.39%       1.306ms         1.39%       1.306ms       0.843us          1550            --  
                                      aten::addmm        12.39%      11.626ms        20.40%      19.143ms      39.881us           480   8493465.600  
                           cudaDeviceGetAttribute         0.16%     150.138us         0.16%     150.138us       0.406us           370            --  
                                  cudaMemsetAsync         0.10%      95.191us         0.10%      95.191us       0.264us           360            --  
                                   cuLaunchKernel         7.89%       7.402ms         7.89%       7.402ms      15.107us           490            --  
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 93.829ms
